GENDER,POSTAL CODE,EMPLOYMENT STATUS,HIGHEST EDUCATION LEVEL,CURRENT / LAST EMPLOYER NAME,CURRENT / LAST MONTHLY SALARY,SOURCE,ATTENDACE,EVENT TITLE,TYPE OF EVENT,DATE OF EVENT,Profile,Age,Age Range,Month,Location,District
Male,828689,Unemployed 0 to less than 3 months,Degree,Admin / Secretarial,"SGD 5,000 to 6,999",CGH,No,Healthcare and Community Care Sector,VJI,6/1/2025,PMET,50,50-59,Jan,"Hougang, Punggol",North East
Male,120457,Unemployed 3 to less than 6 months,Degree,General Management,"SGD 7,000 to 9,999",CGH,Yes,Frontline and Services Sector,VJI,6/1/2025,PMET,50,50-59,Jan,"Pasir Panjang, Clementi",South West
Male,320074,Unemployed 12 months and more,Degree,Sales / Retail,"SGD 3,000 to 4,999",CGH,No,Frontline and Services Sector,VJI,6/1/2025,PMET,50,50-59,Jan,"Balestier, Toa Payoh",Central
Female,670217,Employed - Part Time,Degree,Consulting,"SGD 3,000 to 4,999",CGH,No,Frontline and Services Sector,VJI,6/1/2025,PMET,50,50-59,Jan,"Hillview, Choa Chu Kang",South West
Female,127712,Unemployed 0 to less than 3 months,Degree,Sales / Retail,"SGD 10,000 & above",CGH,Yes,Frontline and Services Sector,VJI,6/1/2025,PMET,49,40-49,Jan,"Pasir Panjang, Clementi",South West
Female,824195,Employed - Full Time,Diploma,Information Technology,"SGD 3,000 to 4,999",CGH,No,Frontline and Services Sector,VJI,6/1/2025,PMET,49,40-49,Jan,"Hougang, Punggol",North East
Male,520138,Unemployed 3 to less than 6 months,Master and Above,Information Technology,"SGD 10,000 & above",CGH,Yes,Frontline and Services Sector,VJI,6/1/2025,PMET,49,40-49,Jan,"Tampines, Pasir Ris",North East
Male,680414,Unemployed 0 to less than 3 months,Diploma,Information Technology,"SGD 10,000 & above",CGH,No,Frontline and Services Sector,VJI,6/1/2025,PMET,48,40-49,Jan,"Hillview, Choa Chu Kang",South West
Male,544298,Retrenched,Degree,Information Technology,"SGD 5,000 to 6,999",CGH,Yes,Frontline and Services Sector,VJI,6/1/2025,PMET,47,40-49,Jan,"Hougang, Punggol",North East
Female,541291,Employed - Full Time,Degree,Accounting / Auditing / Taxation,"SGD 10,000 & above",CGH,No,Frontline and Services Sector,VJI,6/1/2025,PMET,46,40-49,Jan,"Hougang, Punggol",North East
Female,506951,Employed - Full Time,Master and Above,Information Technology,"SGD 3,000 to 4,999",CGH,No,Frontline and Services Sector,VJI,6/1/2025,PMET,46,40-49,Jan,"Loyang, Changi",South East
Female,510710,Unemployed 12 months and more,Master and Above,Sales / Retail,"SGD 3,000 to 4,999",CGH,No,Frontline and Services Sector,VJI,6/1/2025,PMET,46,40-49,Jan,"Tampines, Pasir Ris",North East
Male,640692,Unemployed 0 to less than 3 months,Master and Above,Accounting / Auditing / Taxation,"SGD 3,000 to 4,999",CGH,No,Frontline and Services Sector,VJI,6/1/2025,PMET,46,40-49,Jan,Jurong,South West
Male,522605,Unemployed 12 months and more,Diploma,Marketing / Public Relations,"SGD 3,000 to 4,999",CGH,Yes,Frontline and Services Sector,VJI,6/1/2025,PMET,46,40-49,Jan,"Tampines, Pasir Ris",North East
Female,519933,Unemployed 6 to less than 12 months,Degree,Education and Training,"SGD 5,000 to 6,999",CGH,Yes,Frontline and Services Sector,VJI,6/1/2025,PMET,46,40-49,Jan,"Tampines, Pasir Ris",North East
Female,520132,Unemployed 0 to less than 3 months,Master and Above,Information Technology,"SGD 5,000 to 6,999",CGH,No,Frontline and Services Sector,VJI,6/1/2025,PMET,45,40-49,Jan,"Tampines, Pasir Ris",North East
Male,431001,Unemployed 3 to less than 6 months,Master and Above,Marketing / Public Relations,"SGD 7,000 to 9,999",CGH,No,Frontline and Services Sector,VJI,6/1/2025,PMET,44,40-49,Jan,"Katong, Joo Chiat",South East
Female,486062,Unemployed 6 to less than 12 months,Degree,Information Technology,"SGD 7,000 to 9,999",CGH,Yes,Frontline and Services Sector,VJI,6/1/2025,PMET,44,40-49,Jan,"Bedok, Upper East Coast",South East
Female,821672,Employed - Full Time,Degree,Events / Promotions,"SGD 3,000 to 4,999",CGH,No,Frontline and Services Sector,VJI,6/1/2025,PMET,43,40-49,Jan,"Hougang, Punggol",North East
Female,150037,Employed - Full Time,Degree,General Management,"SGD 3,000 to 4,999",CGH,No,Frontline and Services Sector,VJI,6/1/2025,PMET,43,40-49,Jan,"Queenstown, Tiong Bahru",Central
Female,760123,Employed - Full Time,Degree,Education and Training,"SGD 3,000 to 4,999",CGH,Yes,Frontline and Services Sector,VJI,6/1/2025,PMET,43,40-49,Jan,"Yishun, Sembawang",North West
Male,273018,Unemployed 0 to less than 3 months,Master and Above,Logistics / Supply Chain,"SGD 3,000 to 4,999",CGH,Yes,Frontline and Services Sector,VJI,6/1/2025,PMET,43,40-49,Jan,"Bukit Timah, Holland",South West
Female,577950,Unemployed 12 months and more,Degree,Accounting / Auditing / Taxation,"SGD 7,000 to 9,999",CGH,No,Frontline and Services Sector,VJI,6/1/2025,PMET,41,40-49,Jan,"Bishan, Ang Mo Kio",Central
Male,600063,Unemployed 6 to less than 12 months,Degree,Public / Civil Service,"SGD 3,000 to 4,999",CGH,No,Frontline and Services Sector,VJI,6/1/2025,PMET,41,40-49,Jan,Jurong,South West
Male,823102,Unemployed 0 to less than 3 months,Master and Above,Education and Training,"SGD 5,000 to 6,999",CGH,Yes,Marketing and Business Development Sector,VJI,6/1/2025,PMET,40,40-49,Jan,"Hougang, Punggol",North East
Female,737881,Unemployed 12 months and more,A Level,Accounting / Auditing / Taxation,"SGD 7,000 to 9,999",CGH,Yes,Marketing and Business Development Sector,VJI,6/1/2025,RnF,40,40-49,Jan,"Kranji, Woodgrove",North West
Male,570126,Employed - Full Time,Degree,Marketing / Public Relations,"SGD 3,000 to 4,999",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,PMET,39,30-39,Jan,"Bishan, Ang Mo Kio",Central
Male,219806,Unemployed 3 to less than 6 months,Master and Above,Real Estate / Property Management,"SGD 10,000 & above",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,PMET,39,30-39,Jan,Little India,Central
Male,822602,Unemployed 0 to less than 3 months,Degree,Education and Training,"Below SGD 3,000",CGH,Yes,Marketing and Business Development Sector,VJI,6/1/2025,PMET,38,30-39,Jan,"Hougang, Punggol",North East
Male,570307,Unemployed 0 to less than 3 months,Diploma,Information Technology,"SGD 3,000 to 4,999",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,PMET,37,30-39,Jan,"Bishan, Ang Mo Kio",Central
Male,667971,Unemployed 6 to less than 12 months,Master and Above,Banking and Finance,"SGD 10,000 & above",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,PMET,37,30-39,Jan,"Hillview, Choa Chu Kang",South West
Female,791412,Unemployed 0 to less than 3 months,Degree,Marketing / Public Relations,"SGD 5,000 to 6,999",CGH,Yes,Marketing and Business Development Sector,VJI,6/1/2025,PMET,37,30-39,Jan,Seletar,North East
Male,460028,Employed - Part Time,ITE (Nitec / Higher Nitec),Education and Training,"SGD 3,000 to 4,999",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,RnF,36,30-39,Jan,"Bedok, Upper East Coast",South East
Female,530540,Unemployed 12 months and more,Degree,Marketing / Public Relations,"SGD 5,000 to 6,999",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,PMET,36,30-39,Jan,"Hougang, Punggol",North East
Male,560351,Unemployed 6 to less than 12 months,Degree,Advertising / Media,"SGD 5,000 to 6,999",CGH,Yes,Marketing and Business Development Sector,VJI,6/1/2025,PMET,36,30-39,Jan,"Bishan, Ang Mo Kio",Central
Male,544207,Freelancer,Degree,Design,"SGD 5,000 to 6,999",CGH,Yes,Marketing and Business Development Sector,VJI,6/1/2025,PMET,36,30-39,Jan,"Hougang, Punggol",North East
Male,610116,Employed - Full Time,Degree,Information Technology,"SGD 3,000 to 4,999",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,PMET,35,30-39,Jan,Jurong,South West
Male,560640,Freelancer,Degree,Others,"SGD 3,000 to 4,999",CGH,Yes,Marketing and Business Development Sector,VJI,6/1/2025,PMET,35,30-39,Jan,"Bishan, Ang Mo Kio",Central
Female,440043,Self-Employed,Degree,Marketing / Public Relations,"SGD 5,000 to 6,999",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,PMET,35,30-39,Jan,"Katong, Joo Chiat",South East
Male,821406,Unemployed 6 to less than 12 months,Degree,Advertising / Media,"SGD 5,000 to 6,999",CGH,Yes,Marketing and Business Development Sector,VJI,6/1/2025,PMET,35,30-39,Jan,"Hougang, Punggol",North East
Male,650534,Unemployed 3 to less than 6 months,Diploma,Sales / Retail,"SGD 3,000 to 4,999",CGH,Yes,Marketing and Business Development Sector,VJI,6/1/2025,PMET,33,30-39,Jan,"Hillview, Choa Chu Kang",South West
Male,410667,Unemployed 3 to less than 6 months,Master and Above,Consulting,"SGD 3,000 to 4,999",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,PMET,33,30-39,Jan,"Geylang, Eunos",South East
Male,520231,Freelancer,Diploma,Banking and Finance,"SGD 3,000 to 4,999",CGH,Yes,Marketing and Business Development Sector,VJI,6/1/2025,PMET,33,30-39,Jan,"Tampines, Pasir Ris",North East
Female,530462,Retrenched,Diploma,Sales / Retail,"SGD 3,000 to 4,999",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,PMET,33,30-39,Jan,"Hougang, Punggol",North East
Male,460110,Unemployed 0 to less than 3 months,Degree,Logistics / Supply Chain,"SGD 3,000 to 4,999",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,PMET,33,30-39,Jan,"Bedok, Upper East Coast",South East
Male,730880,Employed - Full Time,Degree,Public / Civil Service,"SGD 3,000 to 4,999",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,PMET,32,30-39,Jan,"Kranji, Woodgrove",North West
Female,543333,Unemployed 12 months and more,Diploma,Customer Service,"SGD 3,000 to 4,999",CGH,Yes,Marketing and Business Development Sector,VJI,6/1/2025,PMET,31,30-39,Jan,"Hougang, Punggol",North East
Female,640731,Unemployed 0 to less than 3 months,Diploma,Others,"SGD 3,000 to 4,999",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,PMET,31,30-39,Jan,Jurong,South West
Female,426615,Unemployed 6 to less than 12 months,Degree,Marketing / Public Relations,"SGD 3,000 to 4,999",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,PMET,30,30-39,Jan,"Katong, Joo Chiat",South East
Male,680164,Unemployed 0 to less than 3 months,Degree,General Work,"SGD 3,000 to 4,999",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,PMET,30,30-39,Jan,"Hillview, Choa Chu Kang",South West
Female,506866,Employed - Full Time,Degree,Marketing / Public Relations,"SGD 3,000 to 4,999",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,PMET,30,30-39,Jan,"Loyang, Changi",South East
Male,500005,Unemployed 3 to less than 6 months,Degree,Advertising / Media,"SGD 3,000 to 4,999",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,PMET,29,20-29,Jan,"Loyang, Changi",South East
Male,650264,Unemployed 3 to less than 6 months,Degree,Banking and Finance,"SGD 3,000 to 4,999",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,PMET,29,20-29,Jan,"Hillview, Choa Chu Kang",South West
Female,760139,Unemployed 3 to less than 6 months,Degree,Marketing / Public Relations,"SGD 3,000 to 4,999",CGH,Yes,Marketing and Business Development Sector,VJI,6/1/2025,PMET,28,20-29,Jan,"Yishun, Sembawang",North West
Male,520372,Unemployed 0 to less than 3 months,Diploma,Marketing / Public Relations,"Below SGD 3,000",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,PMET,27,20-29,Jan,"Tampines, Pasir Ris",North East
Female,669614,Unemployed 12 months and more,Degree,Human Resources,"Below SGD 3,000",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,PMET,26,20-29,Jan,"Hillview, Choa Chu Kang",South West
Female,460121,Employed - Full Time,Degree,Admin / Secretarial,"SGD 3,000 to 4,999",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,PMET,26,20-29,Jan,"Bedok, Upper East Coast",South East
Male,320008,Employed - Full Time,Diploma,Marketing / Public Relations,"SGD 3,000 to 4,999",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,PMET,26,20-29,Jan,"Balestier, Toa Payoh",Central
Female,542178,Employed - Full Time,Degree,Marketing / Public Relations,"SGD 3,000 to 4,999",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,PMET,25,20-29,Jan,"Hougang, Punggol",North East
Female,531980,Retrenched,Diploma,Marketing / Public Relations,"SGD 3,000 to 4,999",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,PMET,24,20-29,Jan,"Hougang, Punggol",North East
Female,671640,Unemployed 0 to less than 3 months,Diploma,Information Technology,"SGD 3,000 to 4,999",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,PMET,24,20-29,Jan,"Hillview, Choa Chu Kang",South West
Female,510649,Unemployed 0 to less than 3 months,Diploma,Advertising / Media,"SGD 3,000 to 4,999",CGH,Yes,Marketing and Business Development Sector,VJI,6/1/2025,PMET,24,20-29,Jan,"Tampines, Pasir Ris",North East
Female,460517,Freelancer,Degree,Information Technology,"SGD 3,000 to 4,999",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,PMET,24,20-29,Jan,"Bedok, Upper East Coast",South East
Male,750402,Employed - Part Time,Degree,Admin / Secretarial,"Below SGD 3,000",CGH,Yes,Marketing and Business Development Sector,VJI,6/1/2025,PMET,27,20-29,Jan,"Yishun, Sembawang",North West
Male,543295,Employed - Full Time,ITE (Nitec / Higher Nitec),Purchasing / Merchandising,"SGD 3,000 to 4,999",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,RnF,67,>60,Jan,"Hougang, Punggol",North East
Female,650503,Unemployed 12 months and more,A Level,Others,"SGD 3,000 to 4,999",CGH,Yes,Marketing and Business Development Sector,VJI,6/1/2025,RnF,63,>60,Jan,"Hillview, Choa Chu Kang",South West
Male,540101,Unemployed 6 to less than 12 months,Degree,Logistics / Supply Chain,"SGD 5,000 to 6,999",CGH,No,Marketing and Business Development Sector,VJI,6/1/2025,PMET,61,>60,Jan,"Hougang, Punggol",North East
Female,768118,Unemployed 0 to less than 3 months,Degree,Accounting / Auditing / Taxation,"SGD 3,000 to 4,999",CGH,Yes,Marketing and Business Development Sector,VJI,6/1/2025,PMET,59,50-59,Jan,"Yishun, Sembawang",North West
Male,470701,Retrenched,Master and Above,Information Technology,"SGD 7,000 to 9,999",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,PMET,57,50-59,Jan,"Bedok, Upper East Coast",South East
Male,821401,Self-Employed,Master and Above,Logistics / Supply Chain,"SGD 3,000 to 4,999",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,PMET,57,50-59,Jan,"Hougang, Punggol",North East
Male,640647,Unemployed 6 to less than 12 months,Degree,Engineering,"SGD 5,000 to 6,999",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,PMET,65,>60,Jan,Jurong,South West
Female,150054,Retrenched,A Level,Admin / Secretarial,"SGD 5,000 to 6,999",CGH,Yes,Technical and Engineering Sector,VJI,7/1/2025,RnF,56,50-59,Jan,"Queenstown, Tiong Bahru",Central
Female,120337,Unemployed 0 to less than 3 months,Degree,Admin / Secretarial,"SGD 3,000 to 4,999",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,PMET,56,50-59,Jan,"Pasir Panjang, Clementi",South West
Male,791407,Unemployed 0 to less than 3 months,Diploma,Sales / Retail,"SGD 5,000 to 6,999",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,PMET,55,50-59,Jan,Seletar,North East
Male,640613,Unemployed 0 to less than 3 months,Master and Above,Education and Training,"Below SGD 3,000",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,PMET,55,50-59,Jan,Jurong,South West
Female,120601,Unemployed 3 to less than 6 months,O Level,Banking and Finance,"SGD 7,000 to 9,999",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,RnF,53,50-59,Jan,"Pasir Panjang, Clementi",South West
Female,109703,Retrenched,Degree,Design,"SGD 10,000 & above",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,PMET,51,50-59,Jan,Telok Blangah,South West
Male,641656,Unemployed 3 to less than 6 months,Diploma,Logistics / Supply Chain,"SGD 5,000 to 6,999",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,PMET,50,50-59,Jan,Jurong,South West
Male,520138,Unemployed 3 to less than 6 months,Master and Above,Information Technology,"SGD 10,000 & above",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,PMET,49,40-49,Jan,"Tampines, Pasir Ris",North East
Female,506951,Employed - Full Time,Master and Above,Information Technology,"SGD 3,000 to 4,999",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,PMET,46,40-49,Jan,"Loyang, Changi",South East
Female,519933,Unemployed 6 to less than 12 months,Degree,Education and Training,"SGD 5,000 to 6,999",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,PMET,46,40-49,Jan,"Tampines, Pasir Ris",North East
Male,670530,Unemployed 3 to less than 6 months,O Level,F&B,"SGD 3,000 to 4,999",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,RnF,43,40-49,Jan,"Hillview, Choa Chu Kang",South West
Male,437379,Self-Employed,Diploma,Travel / Tourism,"SGD 3,000 to 4,999",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,PMET,43,40-49,Jan,"Katong, Joo Chiat",South East
Female,219498,Unemployed 0 to less than 3 months,Diploma,Accounting / Auditing / Taxation,"Below SGD 3,000",CGH,Yes,Technical and Engineering Sector,VJI,7/1/2025,PMET,43,40-49,Jan,Little India,Central
Male,273008,Unemployed 0 to less than 3 months,Degree,Telecommunications,"SGD 3,000 to 4,999",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,PMET,40,40-49,Jan,"Bukit Timah, Holland",South West
Male,219806,Unemployed 3 to less than 6 months,Master and Above,Real Estate / Property Management,"SGD 10,000 & above",CGH,Yes,Technical and Engineering Sector,VJI,7/1/2025,PMET,39,30-39,Jan,Little India,Central
Female,670450,Unemployed 3 to less than 6 months,Secondary,Healthcare / Pharmaceutical,"Below SGD 3,000",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,RnF,36,30-39,Jan,"Hillview, Choa Chu Kang",South West
Male,520122,Unemployed 3 to less than 6 months,Degree,Banking and Finance,"SGD 7,000 to 9,999",CGH,Yes,Technical and Engineering Sector,VJI,7/1/2025,PMET,35,30-39,Jan,"Tampines, Pasir Ris",North East
Female,761472,Employed - Full Time,Degree,Admin / Secretarial,"SGD 3,000 to 4,999",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,PMET,35,30-39,Jan,"Yishun, Sembawang",North West
Male,650534,Unemployed 3 to less than 6 months,Diploma,Sales / Retail,"SGD 3,000 to 4,999",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,PMET,33,30-39,Jan,"Hillview, Choa Chu Kang",South West
Male,520231,Freelancer,Diploma,Banking and Finance,"SGD 3,000 to 4,999",CGH,Yes,Technical and Engineering Sector,VJI,7/1/2025,PMET,33,30-39,Jan,"Tampines, Pasir Ris",North East
Male,130017,Employed - Full Time,Diploma,Security and Investigation,"SGD 3,000 to 4,999",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,PMET,32,30-39,Jan,"Pasir Panjang, Clementi",South West
Female,543333,Unemployed 12 months and more,Diploma,Customer Service,"SGD 3,000 to 4,999",CGH,Yes,Technical and Engineering Sector,VJI,7/1/2025,PMET,31,30-39,Jan,"Hougang, Punggol",North East
Male,789097,Unemployed 0 to less than 3 months,Degree,Engineering,"SGD 3,000 to 4,999",CGH,Yes,Technical and Engineering Sector,VJI,7/1/2025,PMET,31,30-39,Jan,"Upper Thomson, Springleaf",North West
Female,400320,Unemployed 3 to less than 6 months,Degree,Social Services,"SGD 3,000 to 4,999",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,PMET,31,30-39,Jan,"Geylang, Eunos",South East
Male,640266,Freelancer,Diploma,Architecture / Interior Design,"Below SGD 3,000",CGH,Yes,Technical and Engineering Sector,VJI,7/1/2025,PMET,30,30-39,Jan,Jurong,South West
Female,669614,Unemployed 12 months and more,Degree,Human Resources,"Below SGD 3,000",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,PMET,26,20-29,Jan,"Hillview, Choa Chu Kang",South West
Male,560178,Self-Employed,Diploma,Consulting,"SGD 3,000 to 4,999",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,PMET,26,20-29,Jan,"Bishan, Ang Mo Kio",Central
Female,120344,Unemployed 0 to less than 3 months,Diploma,Admin / Secretarial,"Below SGD 3,000",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,PMET,25,20-29,Jan,"Pasir Panjang, Clementi",South West
Female,140034,Unemployed 3 to less than 6 months,Degree,Banking and Finance,"Below SGD 3,000",CGH,Yes,Technical and Engineering Sector,VJI,7/1/2025,PMET,25,20-29,Jan,"Queenstown, Tiong Bahru",Central
Male,469986,Freelancer,Diploma,Others,"SGD 3,000 to 4,999",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,PMET,63,>60,Jan,"Bedok, Upper East Coast",South East
Female,159949,Freelancer,A Level,Education and Training,"SGD 3,000 to 4,999",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,RnF,63,>60,Jan,"Queenstown, Tiong Bahru",Central
Male,520347,Freelancer,Master and Above,Accounting / Auditing / Taxation,"SGD 3,000 to 4,999",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,PMET,59,50-59,Jan,"Tampines, Pasir Ris",North East
Female,575572,Unemployed 0 to less than 3 months,Degree,Education and Training,"SGD 3,000 to 4,999",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,PMET,58,50-59,Jan,"Bishan, Ang Mo Kio",Central
Male,650243,Unemployed 0 to less than 3 months,Diploma,Others,"SGD 3,000 to 4,999",CGH,Yes,Technical and Engineering Sector,VJI,7/1/2025,PMET,54,50-59,Jan,"Hillview, Choa Chu Kang",South West
Male,150070,Unemployed 0 to less than 3 months,Diploma,Information Technology,"SGD 3,000 to 4,999",CGH,Yes,Technical and Engineering Sector,VJI,7/1/2025,PMET,54,50-59,Jan,"Queenstown, Tiong Bahru",Central
Male,460100,Unemployed 0 to less than 3 months,Diploma,Banking and Finance,"SGD 3,000 to 4,999",CGH,No,Technical and Engineering Sector,VJI,7/1/2025,PMET,52,50-59,Jan,"Bedok, Upper East Coast",South East
